id,platform,parent_id,is_reply,text,likes,posted,video
30022,youtube,,False,"Copyright? Most content is trawled freely for comment sites the internet, like this. Some is even a blatant collage of comments. Stuff copyright.",0,6 days ago,https://www.youtube.com/watch?v=N9LKQ9tVT28
74959,youtube,,False,"AI = not stoppable.., as USA can be lead by maybe 30 peoples and all the rest can be replaced by AI. Few milions more burocrats can also pick the tomatoes, strawbery's and grapes, etc. etc., for which they now put imported peoples into labourslavery for! 
Even underaged children 30.000 missing under democrats ""leadership""!",0,6 days ago,https://www.youtube.com/watch?v=N9LKQ9tVT28
14957,youtube,,False,AI scam ads must be made illegal ... this is automated fraud and theft,0,6 days ago,https://www.youtube.com/watch?v=N9LKQ9tVT28
12503,youtube,,False,"What a load of crap, a law that simultaneously makes people pay for ""Australian stories"" and guarantees that they will be told worldwide when  other stories are free.   
How about stop trying to regulate and micro manage everything that happens, especially the stuff you don't understand.  This is just another backdoor to internet censorship.",2,7 days ago,https://www.youtube.com/watch?v=N9LKQ9tVT28
38696,youtube,,False,Does that mean writers illustrators and books are NOT protected?,1,7 days ago,https://www.youtube.com/watch?v=N9LKQ9tVT28
31118,youtube,,False,"The horse has already bolted, and most of what people seek to protect is low value garbage that AI will be able to produce faster and for less money. People don't seem to get what the I in AGI/ASI stands for, the machines will be more intelligent and more creative than the majority of humans. I've already seen things that you wouldn't believe an AI could do. 😬",1,7 days ago,https://www.youtube.com/watch?v=N9LKQ9tVT28
67936,youtube,,False,I pray all will know the love of The Prince of Peace Jesus The Messiah ❤,2,7 days ago,https://www.youtube.com/watch?v=N9LKQ9tVT28
17879,youtube,,False,"Look what they did to night life in south east Queensland and would have been a RINO if he was a Republican Crisafulli is even worse turning Australia into the most unfree state in the world, hospitality workers and shift workers are seen as a slave class to these monsters that don't have a right to a social life unless they want to use the pokies bunch of fkwits the lot of them.",0,7 days ago,https://www.youtube.com/watch?v=N9LKQ9tVT28
22485,youtube,,False,Neitralize the Labour scourge,1,7 days ago,https://www.youtube.com/watch?v=N9LKQ9tVT28
78212,youtube,,False,Maybe introduce AI to the Coalition; they're certainly lacking in intellect. 😂,1,7 days ago,https://www.youtube.com/watch?v=N9LKQ9tVT28
18804,youtube,78212,True,Release the Net Zero Files.,1,7 days ago,https://www.youtube.com/watch?v=N9LKQ9tVT28
77063,youtube,,False,AI is a lot useable and trustworthy that the current Labor government.,2,7 days ago,https://www.youtube.com/watch?v=N9LKQ9tVT28
86757,youtube,77063,True,Which means zero trust,1,7 days ago,https://www.youtube.com/watch?v=N9LKQ9tVT28
29877,youtube,,False,"youtube.com/channel/UCKLw84y4fZTd8hZh1PcJxxA


I have seen countless ads using AI of someone famous, pretending they have a way for everyone to earn lots of money. When will YouTube and Farcebook stop these ads.",1,7 days ago,https://www.youtube.com/watch?v=N9LKQ9tVT28
80980,youtube,,False,Peter can't wait for Aussies to be boosted and receive Forehead Barcodes,0,7 days ago,https://www.youtube.com/watch?v=N9LKQ9tVT28
74769,youtube,,False,Spot on with that 👌,1,7 days ago,https://www.youtube.com/watch?v=N9LKQ9tVT28
97582,youtube,,False,"The biggest problem here is that copyright has become a scourge on society instead of a benefit. The vast majority of copyright is held not by the creators of the works but by the publishers of the works and the vast majority of the works held in under copyright will be lost to society and history.

What was supposed to be an advantage for a short period of time for the creators has now turned into burden that has no advantages for creating new materials.

The separate problems of the various artificial stupidity (AI) systems that exist will only advance because real stupidity is so hard to overcome.

[fix a spelling error]",3,7 days ago,https://www.youtube.com/watch?v=N9LKQ9tVT28
5673,youtube,,False,I don't think there is to much to worie about not to much intelligence left in Australia 😂,1,7 days ago,https://www.youtube.com/watch?v=N9LKQ9tVT28
63030,youtube,,False,Labour government dragging us into the dark ages,11,7 days ago,https://www.youtube.com/watch?v=N9LKQ9tVT28
71881,youtube,,False,"WoW NewsCorpse supports the Labor government decision... 

Outsiders After Dark won't be HAPPY",4,7 days ago,https://www.youtube.com/watch?v=N9LKQ9tVT28
47827,youtube,,False,"Is there a possibility that people cant do any memes anymore ´, especially politicians? if so then this goes to authoritarian dictatorship..",3,7 days ago,https://www.youtube.com/watch?v=N9LKQ9tVT28
83918,youtube,47827,True,"Yes, make no mistake, this is about nothing other than control, using copyright laws as a backdoor for censorship.",1,7 days ago,https://www.youtube.com/watch?v=N9LKQ9tVT28
76816,youtube,,False,ANYTHING Labor touches TURNS TO SH*T! So this AI stuff will no doubt hurt who it shouldn't and NOT HURT who it should!,21,7 days ago,https://www.youtube.com/watch?v=N9LKQ9tVT28
94747,youtube,76816,True,Medicare? Thanks labor,0,6 days ago,https://www.youtube.com/watch?v=N9LKQ9tVT28
76881,youtube,76816,True,As usual they have to cause the problem to look like they’ve solved the problem…. Antichrist,0,6 days ago,https://www.youtube.com/watch?v=N9LKQ9tVT28
93218,youtube,,False,Successful ALP governing 🇦🇺....,2,7 days ago,https://www.youtube.com/watch?v=N9LKQ9tVT28
21607,youtube,93218,True,Release the Net Zero files.,3,7 days ago,https://www.youtube.com/watch?v=N9LKQ9tVT28
19056,youtube,93218,True,"​ [REDACTED] 
Lol
Start small Capeboy 🧛...
Build a political party that can compete with PM Albanese and the ALP first.......👍

After Matt Cannavans car crash interview on insiders, I'll assume with confidence you have a mountain to climb...

😆😆😆",1,7 days ago,https://www.youtube.com/watch?v=N9LKQ9tVT28
76603,youtube,93218,True,"[REDACTED]-i8u  So by that logic, Trump doesn't need to release the Epstein files until the Democrats build a party that can compete with him??🤔",1,7 days ago,https://www.youtube.com/watch?v=N9LKQ9tVT28
73693,youtube,,False,"Albo
Must stop mass immigration 600,000 a year thats 6 million in 10 years ,quarter ⁵⁴of population.Cost of  living record high.......",14,7 days ago,https://www.youtube.com/watch?v=N9LKQ9tVT28
66731,youtube,,False,"Greetings from Germany. 
May i come, please? Our regime is nuts😂",7,7 days ago,https://www.youtube.com/watch?v=N9LKQ9tVT28
2408,youtube,66731,True,Believe it. Its not much better here.,4,7 days ago,https://www.youtube.com/watch?v=N9LKQ9tVT28
29929,youtube,66731,True,I'm in Germany right now. Stay where you are. Not worth coming to Australia. Australia is turning into a big s*** hole 🕳️ All of Europe is is up the s***,0,7 days ago,https://www.youtube.com/watch?v=N9LKQ9tVT28
13473,youtube,66731,True,It's worse,2,7 days ago,https://www.youtube.com/watch?v=N9LKQ9tVT28
79516,youtube,66731,True,[REDACTED]  Well not yet but not too far off.,2,7 days ago,https://www.youtube.com/watch?v=N9LKQ9tVT28
53532,youtube,66731,True,Hope you don't get arrested for writing this! 🙏❤️,1,7 days ago,https://www.youtube.com/watch?v=N9LKQ9tVT28
38319,youtube,66731,True,[REDACTED]  Its the truth.,1,7 days ago,https://www.youtube.com/watch?v=N9LKQ9tVT28
52264,youtube,66731,True,Australian labour is anti-semetic and stupid. Destroying our country,0,7 days ago,https://www.youtube.com/watch?v=N9LKQ9tVT28
93601,youtube,66731,True,​ [REDACTED] I believe it! But I heard they were arresting people for writing the truth.,0,6 days ago,https://www.youtube.com/watch?v=N9LKQ9tVT28
74960,youtube,66731,True,[REDACTED]  They'll have to arrest a lot of people then?,0,6 days ago,https://www.youtube.com/watch?v=N9LKQ9tVT28
94270,youtube,,False,"This is a serious matter, and it’s coming for everyone’s job (purpose or survival if can handle the truth)
We need a serious discussion about this technologia! All over the 🗺️
Lord, help us all🙏🏾",11,7 days ago,https://www.youtube.com/watch?v=N9LKQ9tVT28
18116,youtube,94270,True,"Except this isn't a good thing if they're taking the same approach as Denmark bcos that will mean creators biometric data will be held and could be used for Digital ID, i dont trust this at all no matter how much i dislike AI",1,6 days ago,https://www.youtube.com/watch?v=N9LKQ9tVT28
