Id,Start time,Completion time,Email,Name,What is your age group?,What is your gender identity?,"Overall, how do you feel about the use of AI technologies in Australian law enforcement and national security?",How familiar are you with how AI is currently used by Australian law enforcement?,How much do you trust Australian law enforcement agencies to use AI technologies responsibly?,"In your own words how do you feel about the use of AI by law enforcement (police, security) in Australia?",Rate the following statements on how much you agree or disagree with them..AI in law enforcement threatens personal privacy.,Rate the following statements on how much you agree or disagree with them..AI in law enforcement reduces my trust because of how personal data is collected and used.,"Rate the following statements on how much you agree or disagree with them..AI in law enforcement reduces my trust because of increased monitoring (e.g., facial recognition, tracking).",Rate the following statements on how much you agree or disagree with them..There is not enough accountability for how AI is used in law enforcement.,"Rate the following statements on how much you agree or disagree with them..If an AI system makes an incorrect or unfair decision, it should be easy for people to challenge or appeal that decision.",Rate the following statements on how much you agree or disagree with them..AI decisions in policing should always be subject to human review.,Rate the following statements on how much you agree or disagree with them..I find it easy to access and understand information about how AI is being used by law enforcement in Australia.,Rate the following statements on how much you agree or disagree with them..Information about how AI is used in law enforcement should be easily accessible to the public.,Rate the following statements on how much you agree or disagree with them..The government should involve the public in decisions about how AI is used in law enforcement.,Rate the following statements on how much you agree or disagree with them..I believe AI could reduce human bias in policing compared to traditional methods.,Rate the following statements on how much you agree or disagree with them..AI decision-making can reinforce bias or discrimination.,Rate the following statements on how much you agree or disagree with them..AI increases the risk of misuse or abuse of power.,Rate the following statements on how much you agree or disagree with them..I believe there are adequate legal safeguards in Australia to regulate the use of AI in policing and security.,Rate the following statements on how much you agree or disagree with them..I believe AI can make law enforcement more effective in preventing crime.,Rate the following statements on how much you agree or disagree with them..I would feel safer if AI technologies were widely used in national security in Australia.,"Rate the following statements on how much you agree or disagree with them..I am more concerned about the use of AI by law enforcement than its use in other areas (e.g., healthcare, education, business","In your opinion, what are the main benefits of AI in law enforcement?","What concerns, if any, do you have about the use of AI in law enforcement?",What kinds of rules or safeguards would make you feel more comfortable with the use of AI in policing?
1,9/12/2025 20:28,9/12/2025 20:38,anonymous,,18-24,Woman,4,1,3,,Agree,Neutral,Neutral,Agree,,Strongly agree,Disagree,Strongly agree,Strongly agree,Agree,Neutral,Agree,Disagree,Disagree,Disagree,Neutral,,stealing information for personal gain depending how has access,"only using it IF there is no other option in a hard case, common statistics i.g likley hood of running red lights "
2,9/13/2025 14:11,9/13/2025 14:15,anonymous,,18-24,Woman,5,0,7,It is a good idea but should only be used after alot of checking and ensure that the ai give the best result,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Neutral,Strongly agree,Agree,Strongly agree,Disagree,Disagree,Agree,Neutral,Neutral,Neutral,More fair and can reduce human resources ,None,Having human checking over it 
3,9/13/2025 14:11,9/13/2025 14:16,anonymous,,18-24,Woman,6,2,3,It could be helpful and make it easier to catch criminals or analyse data but it needs to be used ethically without be discriminatory or having inbuilt biases,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Agree,Neutral,Agree,Agree,Disagree,Neutral,Neutral,Agree,"More time efficient, reduce manual administration tasks, solve crime more efficiently and prevent crime better","Invasion of privacy, lack of transparency, gathered knowledge being misused","Introduction of clear laws about the use of AI in policing, more transparency by the police about how AI or the data collected by AI is actually used, "
4,9/13/2025 14:15,9/13/2025 14:17,anonymous,,18-24,Woman,6,2,5,"Can we used effectively, could also be abused. Unsure",Neutral,Disagree,Agree,Agree,Neutral,Strongly agree,Disagree,Neutral,Agree,Agree,Neutral,Disagree,Neutral,Agree,Neutral,Agree,"Reduces bias, increases accuracy",Safeguards,Transparency rules
5,9/13/2025 14:19,9/13/2025 14:22,anonymous,,18-24,Woman,6,3,5,it can be helpful but only if the use is limited,Neutral,Agree,Agree,Agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,time management ,privacy ,firstly educating the society about its yse
6,9/13/2025 14:58,9/13/2025 15:03,anonymous,,18-24,Man,7,3,4,I think it a good idea especially with facial recognition ,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Faster recognition of the criminal and information collection,All the information they can collect,Police getting rid of all the info They’ve collected after the case is done
7,9/13/2025 15:02,9/13/2025 15:45,anonymous,,18-24,Woman,6,0,4,,Neutral,Agree,Agree,Agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Agree,Agree,Neutral,Disagree,Agree,Disagree,Neutral,"More efficient, if trained well can reduce biases","Data protection, potential biases",Transparency in what the ai is doing and how it’s handling your data
8,9/13/2025 16:24,9/13/2025 16:41,anonymous,,18-24,Man,3,3,4,"If proper protocols aren't build in, integrating AI into law enforcement could be a slippery slope into mass surveillance and discriminatory policing.",Agree,Agree,Agree,Neutral,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Agree,Agree,Neutral,Neutral,Disagree,Disagree,Disagree,"Handling monotonous, time-consuming tasks that don’t rely on (or appear to rely on) people’s personal identity such as cybercrime detection and automatic number-plate recognition.",Facial recognition and CCTV analytics that can misidentify people and their intentions.,"data retention, limitations of how AI can be used, review from human officers before actions are taken."
9,9/13/2025 23:05,9/13/2025 23:12,anonymous,,45-54,Man,5,3,5,"Following the debacle with Robodebt , I am concerned if law enforcement relies on AI. However there are advantages to AI in law enforcement as AI can analyse data across systems which can assist with law enforcement. Thus I support use of AI for intelligence gathering. However I believe that government should complement with review by humans. ",Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly Disagree,Strongly agree,Strongly agree,Agree,Agree,Disagree,Strongly Disagree,Strongly agree,Agree,Disagree,Data analysis ,Lack of transparency ,Human review and clear parameters for when ai is used 
10,9/14/2025 10:45,9/14/2025 10:53,anonymous,,45-54,Woman,10,5,9,I think it will create efficiencies. Allow police to concentrate on actual policing rather than paperwork. ,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Neutral,Agree,Neutral,Agree,Neutral,Agree,Disagree,Disagree,Neutral,Strongly agree,Agree,Disagree,Create efficiencies & minimise time on administrative activities. Would also speed up manual processes.,Who holds the data. Is the information safe from foreign interference. ,Data held in Australia. AI activities reviewed by humans. 
11,9/14/2025 13:08,9/14/2025 13:13,anonymous,,18-24,Woman,6,1,5,,Neutral,Agree,Disagree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Disagree,Neutral,Neutral,Neutral,Disagree,,,
12,9/14/2025 14:18,9/14/2025 14:53,anonymous,,35-44,Woman,8,2,8,I think if it can help the public be safer overall then that's a great outcome. ,Disagree,Disagree,Neutral,Neutral,Agree,Agree,Neutral,Agree,Disagree,Agree,Neutral,Disagree,Agree,Strongly agree,Agree,Disagree,Being able to review and assess more information than a person could in a shorter time frame.,Maybe making incorrect decisions.,"Having a human review final outcome, policies about use of information."
13,9/14/2025 15:21,9/14/2025 15:33,anonymous,,45-54,Woman,5,5,3,"I see both pros and cons - pros you can find people, things etc. However, I see a the potential of linking data sets, whereby seemingly innocuous laws change giving greater power to law enforcement. While we are in a stable democracy, that is ok. If that were to change I would not be supportive. ",Agree,Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Neutral,Agree,Agree,Neutral,Agree,Neutral,Strongly agree,I think that it would assist in managing/solving crime more quickly. ,Linking of data sets and then using that data for other things such as profiling. ,You would need human oversight in decision making. You would need robust and true strong whistleblower protections. You would require an ombudsman with powers to overturn decisions and compensate people fairly for breaches. 
14,9/14/2025 15:38,9/14/2025 15:43,anonymous,,45-54,Woman,8,4,7,I’m okay with police using it for enforcement. If people aren’t doing the wrong thing they shouldn’t have to worry. Privacy would be a concern though,Agree,Agree,Neutral,Agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Agree,Agree,Neutral,Neutral,Neutral,Strongly agree,Strongly agree,Neutral,,Privacy issues,
15,9/15/2025 8:29,9/15/2025 8:34,anonymous,,55+,Woman,6,2,1,Apprehensive ,Neutral,Neutral,Agree,Neutral,Strongly agree,Strongly agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Not sure as don’t have enough information about AI,Misuse ,Transparency 
16,9/15/2025 8:57,9/15/2025 9:09,anonymous,,45-54,Woman,7,7,7,"As long as it is used responsibly and in the public interest, with the appropriate checks and balances, I am comfortable ",Agree,Agree,Neutral,Agree,Neutral,Strongly agree,Disagree,Agree,Neutral,Agree,Disagree,Agree,Disagree,Agree,Neutral,Disagree,"Efficiency, low presence of biases ",AI being manipulated by experts for illegal use or personal gain or incorrect persecution.,Regular human monitoring of AI functions and processes as well as human review of AI generated outcomes.
17,9/15/2025 9:36,9/15/2025 9:50,anonymous,,25-34,Woman,6,3,5,I’m a bit nervous about the data they’d have access to and my privacy,Agree,Agree,Neutral,Neutral,Agree,Agree,Disagree,Agree,Neutral,Agree,Agree,Agree,Disagree,Agree,Agree,Strongly agree,Efficiency ,Misuse when it comes to privacy  ,I think  certain level of security must be attained before allowing AI use
18,9/15/2025 10:41,9/15/2025 10:44,anonymous,,45-54,Woman,7,5,6,,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Disagree,,,
19,9/15/2025 10:58,9/15/2025 11:06,anonymous,,45-54,Man,6,1,1,"Should complement not replace human capability. Based on ethical principles with transparency, accountability and governance oversight. ",Agree,Agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly Disagree,Strongly agree,Neutral,Agree,Agree,Strongly agree,Strongly Disagree,Agree,Agree,Strongly agree,More efficient ,Risk of abuse of data and AI tools,Transparency and independent oversight 
20,9/15/2025 11:51,9/15/2025 11:59,anonymous,,18-24,Man,5,3,6,AI should be used appropriately.,Neutral,Disagree,Agree,Agree,Strongly agree,Strongly agree,Disagree,Agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Disagree,Neutral,Disagree,Neutral,AI is not prejudiced against any person. ,AI could be used maliciously to create fake evidence. ,AI should have regulations in regards to who can use.
21,9/15/2025 12:09,9/15/2025 12:12,anonymous,,18-24,Man,4,3,5,Can be used however there lies the risk of sensitive data at risk,Agree,Agree,Agree,Agree,Strongly agree,Agree,Disagree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Efficiency and reduce of workload,,More clear legislation 
22,9/15/2025 13:53,9/15/2025 13:57,anonymous,,55+,Woman,3,0,2,Worried,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Disagree,Strongly agree,Strongly Disagree,Strongly agree,Strongly agree,Neutral,Neutral,Neutral,Disagree,Neutral,Disagree,Agree,None,Potential for errors in decisions/results ,Human reviews
23,9/15/2025 14:13,9/15/2025 14:19,anonymous,,55+,Man,9,5,10,Police need all the help that they can get.. I’m happy to trade off civil liberties and privacy it it meant that we have a safer society to live in ,Strongly Disagree,Disagree,Strongly Disagree,Neutral,Agree,Agree,Neutral,Agree,Agree,Agree,Disagree,Disagree,Agree,Strongly agree,Strongly agree,Disagree,"Reduction in processing times, surveillance, identification of criminal risk factors, more efficiency use of workforce",As long that there is an enforceable code of conduct in place I have no concerns ,A code of conduct signed off by the parliamentary process 
24,9/15/2025 17:26,9/15/2025 17:47,anonymous,,55+,Man,5,6,3,Algorithm in AI can be a “black box “ making it difficult for courts to scrutinise reasoning ,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Neutral,Agree,Strongly agree,Neutral,Agree,Neutral,Disagree,Disagree,Disagree,Agree,"Faster triage of data, facial/ number plate recognition etc. ",Ethical concerns- use of probability scores to determine punishment for example ,"Transparency and accountability standards…audit trails, independent bias testing mechanisms "
25,9/15/2025 18:24,9/15/2025 18:33,anonymous,,55+,Man,8,1,4,If there are tight controls then I’m open to it ,Agree,Agree,Disagree,Agree,Strongly agree,Strongly agree,Strongly Disagree,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly Disagree,Strongly agree,Agree,Agree,Doesn’t get tired and if controlled properly increase the ability to track and trace people ,The technology is advancing so fast that the legal laws are being left behind and therefore the technology can be abused ,Must be overseen by a human for any final decisions.  
26,9/15/2025 21:05,9/15/2025 21:07,anonymous,,18-24,Woman,6,2,0,I think it is good to have better technology but it is worrying to have that same technology be too aware of me.,Strongly agree,Agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Neutral,Strongly agree,We can catch criminals easier.,My privacy will be reduced because AI will be monitoring me all the time.,Limit when AI is used. 
27,9/15/2025 21:29,9/15/2025 21:46,anonymous,,35-44,Man,0,5,0,Concerning,Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Neutral,Disagree,Neutral,Neutral,Disagree,Agree,Neutral,Agree,Neutral,Agree,Speed and accurate data collection.,Breech of privacy and national security.,Transparency in decision making.
28,9/16/2025 1:44,9/16/2025 1:48,anonymous,,18-24,Woman,5,2,6,I don’t trust AI too much because of too many loopholes etc. it can be really good for security but will need a lot of research around this before using ,Agree,Agree,Neutral,Agree,Strongly agree,Agree,Neutral,Agree,Agree,Agree,Agree,Disagree,Neutral,Agree,Neutral,Agree,More efficient and accurate ,"Emotion appeal is huge in law, the reasons of why they did the crime etc.",Can’t be used in big cases
29,9/17/2025 11:45,9/17/2025 11:48,anonymous,,18-24,Woman,0,1,0,"Terrible idea, only need to look at how project nimbus and palantir operates in Palestine and other countries to see that this is a bad idea. Surveillance without moderation or oversight will result in abuse of power.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Disagree,Strongly agree,Strongly agree,Strongly Disagree,Strongly agree,Strongly agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly agree,None,"Everything, privacy and abuse of power by police being the main ones.","None, because it should not be used."
30,9/17/2025 14:41,9/17/2025 14:56,anonymous,,35-44,Woman,3,7,3,"I don't believe that there is sufficient transparency in how Australian police and security are allowed to use AI in their operations. Even if it was sufficiently transparent (according both to law and public interest), I'm not confident that this information would be user-friendly. The use of AI as a predictive technology for law enforcement purposes is still significantly under-defined, which leaves open many opportunities for abuse and misuse. Obviously this is bad for citizens (and also law enforcement & security agents themselves, who are often forgotten in this debate) but it also means that any genuinely good outcomes that might come of its use (e.g. intercepting organised crime) can be negated or reversed later in court, when laws and regulations mature.",Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Neutral,Strongly agree,Agree,Disagree,Neutral,Disagree,Disagree,Big data distillation to recognise patterns of illegal activity.,"Transparency, accountability, integration of LE use of AI into legal procedures (if these systems aren't harmonized what's the point)","Cutting edge technical privacy & encryption standards (which get extremely close to genuine de-identification), widespread and high quality education about how AI works and how it can/should be used (training delivered to LE/security, which would be accountable to an education body like TEQSA), restriction of AI use to quantitative problems (e.g. processing details of arrests in order to accurately count number of arrest types within a time period)"
31,9/23/2025 1:43,9/23/2025 1:47,anonymous,,18-24,Woman,5,0,1,I’m not too familiar with the ways that law enforcement uses AI. AI can be inaccurate at times so I would not be too keen on law enforcement using it. ,Neutral,Neutral,Agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,"Perhaps freeing up certain resources, allowing law enforcement to focus on other serious matters or crimes.",It’s inaccuracy. It is not 100% trustworthy.,I’m not sure. 
32,10/6/2025 0:16,10/6/2025 0:24,anonymous,,18-24,Man,5,2,5,"I think Australia lags behind comperable countries when it combes to AI technology, infrastructure and leadership to be as effective as other countries in using it in law enforcement. Especially compared to other advanced economies in North America, Asia, and Europe.",Neutral,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Strongly agree,"If the AI is trained properly without human bias polluting the data, then it can help eliminate human bias in law enforcement.",Lack of robust implementation plan and complete transperency could let bad actors can make it catastrophic and make the public lose trust in law enforcement and government institutions.,"Having a system of complete public transparency, those overseeing decision making of AI in policing should have powers split amongst multiple groups/people which verify each other's actions to ensure checks and balances."
