category,key,value
"In your opinion, what are the main benefits of AI in law enforcement?",efficient,1.0
"In your opinion, what are the main benefits of AI in law enforcement?",efficiency,1.0
"In your opinion, what are the main benefits of AI in law enforcement?",efficient accurate,0.6516513205438883
"In your opinion, what are the main benefits of AI in law enforcement?",management,0.6335480731309335
"In your opinion, what are the main benefits of AI in law enforcement?",time management,0.6335480731309335
"In your opinion, what are the main benefits of AI in law enforcement?",data analysis,0.6133376208853409
"In your opinion, what are the main benefits of AI in law enforcement?",analysis,0.6133376208853409
"In your opinion, what are the main benefits of AI in law enforcement?",accurate,0.5797375526634307
"In your opinion, what are the main benefits of AI in law enforcement?",data,0.4976283006556396
"In your opinion, what are the main benefits of AI in law enforcement?",workload,0.4922564867099526
"In your opinion, what are the main benefits of AI in law enforcement?",reduce workload,0.4922564867099526
"In your opinion, what are the main benefits of AI in law enforcement?",efficiency reduce,0.4922564867099526
"In your opinion, what are the main benefits of AI in law enforcement?",sure,0.4740589663848469
"In your opinion, what are the main benefits of AI in law enforcement?",sure information,0.4740589663848469
"In your opinion, what are the main benefits of AI in law enforcement?",information ai,0.4740589663848469
"In your opinion, what are the main benefits of AI in law enforcement?",prejudiced,0.4671198102668759
"In your opinion, what are the main benefits of AI in law enforcement?",prejudiced person,0.4671198102668759
"In your opinion, what are the main benefits of AI in law enforcement?",ai prejudiced,0.4671198102668759
"In your opinion, what are the main benefits of AI in law enforcement?",easier,0.4472135954999579
"In your opinion, what are the main benefits of AI in law enforcement?",criminals easier,0.4472135954999579
"What concerns, if any, do you have about the use of AI in law enforcement?",safeguards,1.0
"What concerns, if any, do you have about the use of AI in law enforcement?",privacy,1.0
"What concerns, if any, do you have about the use of AI in law enforcement?",misuse,1.0
"What concerns, if any, do you have about the use of AI in law enforcement?",issues,0.6409302216417979
"What concerns, if any, do you have about the use of AI in law enforcement?",privacy issues,0.6409302216417979
"What concerns, if any, do you have about the use of AI in law enforcement?",collect,0.6133376208853409
"What concerns, if any, do you have about the use of AI in law enforcement?",information collect,0.6133376208853409
"What concerns, if any, do you have about the use of AI in law enforcement?",transparency,0.5773502691896257
"What concerns, if any, do you have about the use of AI in law enforcement?",lack,0.5773502691896257
"What concerns, if any, do you have about the use of AI in law enforcement?",lack transparency,0.5773502691896257
"What concerns, if any, do you have about the use of AI in law enforcement?",information,0.4976283006556396
"What concerns, if any, do you have about the use of AI in law enforcement?",misuse comes,0.48645873513711685
"What concerns, if any, do you have about the use of AI in law enforcement?",comes privacy,0.48645873513711685
"What concerns, if any, do you have about the use of AI in law enforcement?",comes,0.48645873513711685
"What concerns, if any, do you have about the use of AI in law enforcement?",technology,0.4850712500726658
"What concerns, if any, do you have about the use of AI in law enforcement?",data,0.41236052533271383
"What concerns, if any, do you have about the use of AI in law enforcement?",protection,0.39668538556188687
"What concerns, if any, do you have about the use of AI in law enforcement?",biases,0.39668538556188687
"What concerns, if any, do you have about the use of AI in law enforcement?",protection potential,0.39668538556188687
"What concerns, if any, do you have about the use of AI in law enforcement?",potential biases,0.39668538556188687
What kinds of rules or safeguards would make you feel more comfortable with the use of AI in policing?,transparency,1.0
What kinds of rules or safeguards would make you feel more comfortable with the use of AI in policing?,reviews,0.6524882108570533
What kinds of rules or safeguards would make you feel more comfortable with the use of AI in policing?,human reviews,0.6524882108570533
What kinds of rules or safeguards would make you feel more comfortable with the use of AI in policing?,checking,0.6524882108570533
What kinds of rules or safeguards would make you feel more comfortable with the use of AI in policing?,human checking,0.6524882108570533
What kinds of rules or safeguards would make you feel more comfortable with the use of AI in policing?,rules,0.6471519524323016
What kinds of rules or safeguards would make you feel more comfortable with the use of AI in policing?,transparency rules,0.6471519524323016
What kinds of rules or safeguards would make you feel more comfortable with the use of AI in policing?,legislation,0.6133376208853409
What kinds of rules or safeguards would make you feel more comfortable with the use of AI in policing?,clear legislation,0.6133376208853409
What kinds of rules or safeguards would make you feel more comfortable with the use of AI in policing?,limit ai,0.5371796336969823
What kinds of rules or safeguards would make you feel more comfortable with the use of AI in policing?,limit,0.5371796336969823
What kinds of rules or safeguards would make you feel more comfortable with the use of AI in policing?,transparency decision,0.5155638851666012
What kinds of rules or safeguards would make you feel more comfortable with the use of AI in policing?,independent oversight,0.5018429810459774
What kinds of rules or safeguards would make you feel more comfortable with the use of AI in policing?,transparency independent,0.5018429810459774
What kinds of rules or safeguards would make you feel more comfortable with the use of AI in policing?,clear,0.4976283006556396
What kinds of rules or safeguards would make you feel more comfortable with the use of AI in policing?,used big,0.4718564068448902
What kinds of rules or safeguards would make you feel more comfortable with the use of AI in policing?,cases,0.4718564068448902
What kinds of rules or safeguards would make you feel more comfortable with the use of AI in policing?,big cases,0.4718564068448902
What kinds of rules or safeguards would make you feel more comfortable with the use of AI in policing?,big,0.4718564068448902
What kinds of rules or safeguards would make you feel more comfortable with the use of AI in policing?,making,0.4586682104452289



#TF-IDF but split per survey question.
#Show per-question top terms in reports.